filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
output/0x0a2631a499813bb47de7490a4845aabee8062b6f.sol,0x0a2631a499813bb47de7490a4845aabee8062b6f.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680159618.7293952,646.928144454956,,{},{},{},{DOCKER_TIMEOUT}
output/0x0a2e310409f7589c9e8640abf98ca2b7b35f938c.sol,0x0a2e310409f7589c9e8640abf98ca2b7b35f938c.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680152594.9855375,8.679274797439575,0,{},{},{Solc experienced a fatal error},{}
output/0x0a2e4752f5e348cd262662450402e4bc1f1b76fc.sol,0x0a2e4752f5e348cd262662450402e4bc1f1b76fc.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680163280.2222083,587.4132740497589,0,{},{},{},{}
output/0x0a2ea71d943bf917b410593194595e1f48d40e54.sol,0x0a2ea71d943bf917b410593194595e1f48d40e54.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680150319.791334,612.7424247264862,,{},{},{},{DOCKER_TIMEOUT}
output/0x0a2eaa1101bfec3844d9f79dd4e5b2f2d5b1fd4d.sol,0x0a2eaa1101bfec3844d9f79dd4e5b2f2d5b1fd4d.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680149196.2048888,572.539543390274,1,{External_Call_To_User_Supplied_Address_SWC_107},{},{},{}
output/0x0a2eaaff557d8e59bb829d2c67a7a097c9663b15.sol,0x0a2eaaff557d8e59bb829d2c67a7a097c9663b15.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680160451.848929,628.0316886901855,,{},{},{},{DOCKER_TIMEOUT}
output/0x0a3454b1c30f956f52f6a5b712b390b243ecd288.sol,0x0a3454b1c30f956f52f6a5b712b390b243ecd288.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680150463.145014,503.29883337020874,1,{External_Call_To_User_Supplied_Address_SWC_107},{},{},{}
output/0x0a3ed956f14d3c725f2a04117e2f25b12dd3dec3.sol,0x0a3ed956f14d3c725f2a04117e2f25b12dd3dec3.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680151720.535879,527.7670300006866,1,{Dependence_on_predictable_environment_variable_SWC_116},{},{},{}
output/0x0a3f6648fdf7df0f542c7ef3df86406cec5bfade.sol,0x0a3f6648fdf7df0f542c7ef3df86406cec5bfade.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680154815.2454882,613.4421954154968,,{},{},{},{DOCKER_TIMEOUT}
output/0x0a3f9678d6b631386c2dd3de8809b48b0d1bbd56.sol,0x0a3f9678d6b631386c2dd3de8809b48b0d1bbd56.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680161715.067584,639.2594881057739,,{},{},{},{DOCKER_TIMEOUT}
